TimeStamp,BYA_PLC_GE3010C_ExhaustTemp_LB,BYA_PLC_TT3201_PV,CLUSTER,OVER_BY,HEALTH
2024-01-13 13:00:00+07:00,845.38,98.08,1,0.37,94.85
2024-01-13 14:00:00+07:00,843.35,98.89,1,0.15,97.88
2024-01-13 15:00:00+07:00,842.42,103.82,1,0,100
2024-01-13 16:00:00+07:00,842.42,103.82,1,0,100
2024-01-13 17:00:00+07:00,840.61,108.44,1,0,100
2024-01-13 18:00:00+07:00,844.59,114.06,1,0,100
2024-01-13 19:00:00+07:00,846.36,116.1,1,0,100
2024-01-13 20:00:00+07:00,847.2,112.72,1,0,100
2024-01-13 21:00:00+07:00,846.6,111.94,1,0,100
2024-01-13 22:00:00+07:00,847.25,112.38,1,0,100
2024-01-13 23:00:00+07:00,846.78,113.54,1,0,100
2024-01-14 01:00:00+07:00,847.21,100.46,1,0.23,96.77
2024-01-14 02:00:00+07:00,846.32,98.46,1,0.39,94.58
2024-01-14 03:00:00+07:00,846.32,98.46,1,0.39,94.58
2024-01-14 04:00:00+07:00,849.24,100.19,1,0.42,94.18
2024-01-14 05:00:00+07:00,850.76,102.16,1,0.33,95.4
2024-01-14 06:00:00+07:00,850.91,102.82,1,0.27,96.22
2024-01-14 07:00:00+07:00,846.06,100.34,1,0.16,97.74
2024-01-14 08:00:00+07:00,847.77,96.89,1,0.7,90.48
2024-01-14 09:00:00+07:00,850.26,86.26,1,2.72,67.8
2024-01-14 10:00:00+07:00,849.81,95.62,1,1.06,85.95
2024-01-14 11:00:00+07:00,854.23,102.02,1,0.68,90.74
2024-01-14 12:00:00+07:00,845.78,98.42,1,0.36,94.99
2024-01-14 13:00:00+07:00,845.68,92.91,1,1.11,85.34
2024-01-14 14:00:00+07:00,844.25,88.87,1,1.66,78.89
2024-01-14 16:00:00+07:00,845.66,98.58,1,0.33,95.4
2024-01-14 17:00:00+07:00,850.15,106.34,1,0,100
2024-01-14 18:00:00+07:00,853.52,108.63,1,0.01,99.86
2024-01-14 19:00:00+07:00,853.52,108.63,1,0.01,99.86
2024-01-14 20:00:00+07:00,856.1,108.27,1,0.28,96.08
2024-01-14 21:00:00+07:00,853.46,107.83,1,0.06,99.15
2024-01-14 22:00:00+07:00,855.59,109.66,1,0.13,98.16
2024-01-14 23:00:00+07:00,856.89,110.14,1,0.23,96.77
2024-01-15 00:00:00+07:00,850.14,108.99,1,0,100
2024-01-15 01:00:00+07:00,843.82,100.41,1,0.01,99.86
2024-01-15 02:00:00+07:00,843.82,100.41,1,0.01,99.86
2024-01-15 03:00:00+07:00,854.89,100.58,1,0.92,87.68
2024-01-15 04:00:00+07:00,855.17,100.48,1,0.96,87.18
2024-01-15 05:00:00+07:00,854.37,101.85,1,0.71,90.35
2024-01-15 06:00:00+07:00,853.68,103.37,1,0.48,93.37
2024-01-15 07:00:00+07:00,852.55,100.44,1,0.69,90.61
2024-01-15 08:00:00+07:00,852.44,99.43,1,0.8,89.2
2024-01-15 09:00:00+07:00,851.86,96.51,1,1.13,85.09
2024-01-15 10:00:00+07:00,851.91,94.37,1,1.45,81.29
2024-01-15 11:00:00+07:00,850.15,95.5,1,1.11,85.34
2024-01-15 12:00:00+07:00,850.57,97.98,1,0.81,89.07
2024-01-15 13:00:00+07:00,843.92,98.01,1,0.29,95.94
2024-01-15 14:00:00+07:00,843.76,99.65,1,0.09,98.72
2024-01-15 15:00:00+07:00,843.2,99.34,1,0.09,98.72
2024-01-15 16:00:00+07:00,843.47,99.86,1,0.05,99.29
2024-01-15 17:00:00+07:00,842.78,99.08,1,0.1,98.58
2024-01-15 18:00:00+07:00,842.66,99.32,1,0.06,99.15
2024-01-15 19:00:00+07:00,845.41,100.59,1,0.09,98.72
2024-01-15 20:00:00+07:00,849.56,106.82,1,0,100
2024-01-15 21:00:00+07:00,847.68,115.12,1,0,100
2024-01-15 22:00:00+07:00,846.52,115.71,1,0,100
2024-01-15 23:00:00+07:00,843.43,106.16,1,0,100
2024-01-16 00:00:00+07:00,842.92,94.81,1,0.64,91.26
2024-01-16 01:00:00+07:00,842.79,91.15,1,1.17,84.61
2024-01-16 02:00:00+07:00,842.32,91.98,1,1.01,86.56
2024-01-16 03:00:00+07:00,842.46,94.14,1,0.7,90.48
2024-01-16 04:00:00+07:00,843.74,95.34,1,0.62,91.52
2024-01-16 05:00:00+07:00,844.62,95.29,1,0.68,90.74
2024-01-16 06:00:00+07:00,844.62,95.29,1,0.68,90.74
2024-01-16 07:00:00+07:00,844.43,93.72,1,0.89,88.06
2024-01-16 08:00:00+07:00,844.22,93.67,1,0.88,88.19
2024-01-16 09:00:00+07:00,844.46,93.96,1,0.86,88.44
2024-01-16 10:00:00+07:00,844.21,92.92,1,1,86.69
2024-01-16 11:00:00+07:00,844.21,92.92,1,1,86.69
2024-01-16 12:00:00+07:00,840.44,91,1,1.05,86.07
2024-01-16 13:00:00+07:00,842.74,93.86,1,0.76,89.71
2024-01-16 14:00:00+07:00,847.45,98.21,1,0.51,92.97
2024-01-16 15:00:00+07:00,850.19,103.05,1,0.19,97.32
2024-01-16 16:00:00+07:00,849.43,105.79,1,0,100
2024-01-16 17:00:00+07:00,851.03,108.67,1,0,100
2024-01-16 18:00:00+07:00,851.03,108.67,1,0,100
2024-01-16 19:00:00+07:00,851.03,108.67,1,0,100
